Index,X,Y,Z,E
0,83,0,0,23
1,218,0,0,59
2,353,0,0,95
3,488,0,0,131
4,623,0,0,168
5,758,0,0,204
6,894,0,0,240
7,1029,0,0,276
8,1164,0,0,312
9,1299,0,0,349
10,1434,0,0,385
11,1569,0,0,421
12,1704,0,0,457
13,1839,0,0,494
14,1974,0,0,530
15,2110,0,0,566
16,2245,0,0,602
17,2380,0,0,638
18,2515,0,0,675
19,2650,0,0,711
20,2785,0,0,747
21,2920,0,0,783
22,3055,0,0,820
23,3191,0,0,856
24,3326,0,0,892
25,3461,0,0,928
26,3596,0,0,964
27,3731,0,0,1001
28,3866,0,0,1037
29,4001,0,0,1073
30,4136,0,0,1110
31,4271,0,0,1146
32,4407,0,0,1182
33,4542,0,0,1218
34,4677,0,0,1254
35,4812,0,0,1294
36,4947,0,0,1370
37,5082,0,0,1445
38,5217,0,0,1521
39,5352,0,0,1597
40,5487,0,0,1672
41,5623,0,0,1747
42,5758,0,0,1823
43,5893,0,0,1898
44,6028,0,0,1974
45,6163,0,0,2049
46,6298,0,0,2125
47,6433,0,0,2201
48,6568,0,0,2276
49,6703,0,0,2351
50,6839,0,0,2427
51,6974,0,0,2502
52,7109,0,0,2578
53,7244,0,0,2653
54,7379,0,0,2729
55,7514,0,0,2804
56,7649,0,0,2880
57,7784,0,0,2955
58,7919,0,0,3031
59,7999,6,0,3189
60,7870,455,5,3189
61,7736,921,9,3189
62,7602,1387,14,3189
63,7468,1853,19,3189
64,7334,2320,24,3189
65,7200,2786,29,3189
66,7065,3252,33,3189
67,6931,3718,38,3189
68,6797,4185,43,3189
69,6664,4651,48,3189
70,6530,5117,53,3189
71,6395,5583,57,3189
72,6261,6049,62,3189
73,6127,6516,67,3189
74,5993,6982,72,3189
75,5859,7448,76,3189
76,5760,7792,80,3261
77,5884,7737,80,3310
78,6046,7731,80,3318
79,6208,7731,80,3326
80,6370,7731,80,3335
81,6532,7731,80,3343
82,6694,7731,80,3351
83,6856,7731,80,3359
84,7019,7731,80,3367
85,7181,7731,80,3375
86,7343,7731,80,3384
87,7505,7731,80,3392
88,7667,7731,80,3400
89,7829,7731,80,3408
90,7991,7731,80,3416
91,8153,7731,80,3424
92,8315,7731,80,3433
93,8478,7732,80,3441
94,8638,7755,80,3449
95,8798,7780,80,3457
96,8959,7801,80,3465
97,9120,7819,80,3474
98,9282,7833,80,3482
99,9443,7844,80,3490
100,9605,7852,80,3498
101,9767,7855,80,3507
102,9929,7858,80,3515
103,10092,7858,80,3523
104,10254,7856,80,3531
105,10416,7851,80,3540
106,10578,7844,80,3548
107,10739,7832,80,3556
108,10901,7817,80,3564
109,11062,7798,80,3572
110,11222,7777,80,3580
111,11383,7751,80,3589
112,11543,7732,80,3597
113,11705,7731,80,3605
114,11868,7731,80,3613
115,12030,7731,80,3621
116,12192,7731,80,3629
117,12354,7731,80,3638
118,12516,7731,80,3646
119,12678,7731,80,3654
120,12840,7731,80,3662
121,13002,7731,80,3670
122,13164,7731,80,3678
123,13327,7731,80,3687
124,13489,7731,80,3695
125,13651,7731,80,3703
126,13813,7731,80,3711
127,13975,7731,80,3719
128,14136,7742,80,3728
129,14273,7824,80,3736
130,14346,7967,80,3744
131,14352,8129,80,3752
132,14352,8291,80,3761
133,14352,8453,80,3769
134,14352,8615,80,3777
135,14351,8777,80,3785
136,14308,8931,80,3793
137,14190,9038,80,3802
138,14032,9069,80,3809
139,13870,9069,80,3818
140,13708,9069,80,3826
141,13546,9069,80,3834
142,13384,9069,80,3842
143,13222,9069,80,3851
144,13059,9069,80,3859
145,12897,9069,80,3867
146,12735,9069,80,3875
147,12573,9069,80,3883
148,12411,9069,80,3892
149,12249,9069,80,3900
150,12087,9069,80,3908
151,11925,9069,80,3916
152,11762,9069,80,3925
153,11600,9069,80,3933
154,11439,9058,80,3941
155,11279,9032,80,3949
156,11118,9008,80,3957
157,10957,8990,80,3966
158,10796,8974,80,3974
159,10635,8960,80,3982
160,10473,8951,80,3990
161,10311,8946,80,3998
162,10149,8943,80,4006
163,9986,8942,80,4014
164,9824,8943,80,4023
165,9662,8945,80,4031
166,9500,8952,80,4039
167,9338,8963,80,4047
168,9177,8976,80,4055
169,9016,8992,80,4063
170,8855,9013,80,4072
171,8694,9037,80,4080
172,8534,9063,80,4088
173,8372,9069,80,4097
174,8210,9069,80,4105
175,8048,9069,80,4113
176,7886,9069,80,4121
177,7724,9069,80,4130
178,7562,9069,80,4138
179,7400,9069,80,4146
180,7238,9069,80,4154
181,7076,9069,80,4162
182,6913,9069,80,4170
183,6751,9069,80,4179
184,6589,9069,80,4187
185,6427,9069,80,4195
186,6265,9069,80,4203
187,6103,9069,80,4211
188,5941,9068,80,4220
189,5787,9025,80,4227
190,5679,8906,80,4236
191,5648,8749,80,4244
