Index,X,Y,Z,E
0,79,0,0,21
1,214,0,0,58
2,349,0,0,94
3,484,0,0,130
4,619,0,0,167
5,755,0,0,203
6,890,0,0,239
7,1025,0,0,275
8,1160,0,0,311
9,1295,0,0,347
10,1430,0,0,384
11,1565,0,0,420
12,1700,0,0,456
13,1835,0,0,493
14,1971,0,0,529
15,2106,0,0,565
16,2241,0,0,601
17,2376,0,0,637
18,2511,0,0,674
19,2646,0,0,710
20,2781,0,0,746
21,2916,0,0,782
22,3051,0,0,819
23,3186,0,0,855
24,3322,0,0,891
25,3457,0,0,927
26,3592,0,0,963
27,3727,0,0,1000
28,3862,0,0,1036
29,3997,0,0,1072
30,4132,0,0,1108
31,4267,0,0,1145
32,4402,0,0,1181
33,4538,0,0,1217
34,4673,0,0,1253
35,4808,0,0,1292
36,4943,0,0,1367
37,5078,0,0,1443
38,5213,0,0,1519
39,5348,0,0,1594
40,5483,0,0,1670
41,5618,0,0,1745
42,5754,0,0,1821
43,5889,0,0,1896
44,6024,0,0,1971
45,6159,0,0,2047
46,6294,0,0,2122
47,6429,0,0,2198
48,6564,0,0,2274
49,6699,0,0,2349
50,6834,0,0,2425
51,6970,0,0,2500
52,7105,0,0,2575
53,7240,0,0,2651
54,7375,0,0,2726
55,7510,0,0,2802
56,7645,0,0,2877
57,7780,0,0,2953
58,7915,0,0,3029
59,8000,2,0,3189
60,7874,441,5,3189
61,7740,907,9,3189
62,7606,1373,14,3189
63,7472,1839,19,3189
64,7338,2305,24,3189
65,7204,2772,28,3189
66,7070,3238,33,3189
67,6936,3704,38,3189
68,6802,4170,43,3189
69,6668,4636,48,3189
70,6534,5103,52,3189
71,6400,5569,57,3189
72,6266,6035,62,3189
73,6131,6501,67,3189
74,5997,6967,72,3189
75,5863,7434,76,3189
76,5760,7792,80,3250
77,5879,7738,80,3310
78,6041,7731,80,3318
79,6203,7731,80,3326
80,6365,7731,80,3334
81,6527,7731,80,3343
82,6689,7731,80,3351
83,6851,7731,80,3359
84,7014,7731,80,3367
85,7176,7731,80,3375
86,7338,7731,80,3383
87,7500,7731,80,3392
88,7662,7731,80,3400
89,7824,7731,80,3408
90,7986,7731,80,3416
91,8148,7731,80,3424
92,8310,7731,80,3432
93,8472,7732,80,3441
94,8633,7754,80,3449
95,8793,7779,80,3457
96,8954,7801,80,3465
97,9115,7818,80,3473
98,9277,7833,80,3481
99,9438,7844,80,3490
100,9600,7852,80,3498
101,9762,7855,80,3506
102,9924,7858,80,3515
103,10086,7858,80,3523
104,10249,7856,80,3531
105,10411,7852,80,3539
106,10573,7844,80,3547
107,10734,7832,80,3556
108,10896,7817,80,3564
109,11057,7799,80,3572
110,11217,7777,80,3580
111,11378,7751,80,3588
112,11538,7732,80,3597
113,11700,7731,80,3605
114,11862,7731,80,3613
115,12025,7731,80,3621
116,12187,7731,80,3629
117,12349,7731,80,3637
118,12511,7731,80,3645
119,12673,7731,80,3654
120,12835,7731,80,3662
121,12997,7731,80,3670
122,13159,7731,80,3678
123,13321,7731,80,3686
124,13484,7731,80,3694
125,13646,7731,80,3703
126,13808,7731,80,3711
127,13970,7731,80,3719
128,14131,7741,80,3728
129,14270,7820,80,3736
130,14345,7962,80,3744
131,14352,8124,80,3752
132,14352,8286,80,3760
133,14352,8448,80,3769
134,14352,8610,80,3777
135,14351,8772,80,3785
136,14311,8927,80,3793
137,14194,9036,80,3802
138,14037,9069,80,3809
139,13875,9069,80,3817
140,13713,9069,80,3826
141,13551,9069,80,3834
142,13389,9069,80,3842
143,13227,9069,80,3850
144,13065,9069,80,3859
145,12903,9069,80,3867
146,12740,9069,80,3875
147,12578,9069,80,3883
148,12416,9069,80,3891
149,12254,9069,80,3900
150,12092,9069,80,3908
151,11930,9069,80,3916
152,11768,9069,80,3924
153,11606,9069,80,3933
154,11444,9059,80,3941
155,11284,9032,80,3949
156,11124,9009,80,3957
157,10963,8990,80,3965
158,10801,8974,80,3974
159,10640,8960,80,3982
160,10478,8951,80,3990
161,10316,8946,80,3998
162,10154,8943,80,4006
163,9992,8942,80,4014
164,9830,8943,80,4022
165,9667,8945,80,4030
166,9505,8952,80,4039
167,9344,8962,80,4047
168,9182,8975,80,4055
169,9021,8991,80,4063
170,8860,9012,80,4071
171,8700,9036,80,4079
172,8540,9062,80,4088
173,8378,9069,80,4097
174,8216,9069,80,4105
175,8054,9069,80,4113
176,7891,9069,80,4121
177,7729,9069,80,4129
178,7567,9069,80,4137
179,7405,9069,80,4146
180,7243,9069,80,4154
181,7081,9069,80,4162
182,6919,9069,80,4170
183,6757,9069,80,4178
184,6595,9069,80,4187
185,6432,9069,80,4195
186,6270,9069,80,4203
187,6108,9069,80,4211
188,5946,9068,80,4219
189,5791,9028,80,4227
190,5682,8911,80,4236
191,5648,8754,80,4244
192,5648,8592,80,4252
193,5648,8430,80,4260
194,5648,8268,80,4268
195,5648,8106,80,4276
196,5660,7945,80,4284
197,5742,7808,80,4293
198,5893,7768,80,4300
199,6055,7763,80,4308
200,6217,7763,80,4316
201,6379,7763,80,4325
202,6542,7763,80,4333
203,6704,7763,80,4341
204,6866,7763,80,4349
205,7028,7763,80,4357
206,7190,7763,80,4366
207,7352,7763,80,4374
208,7514,7763,80,4382
209,7676,7763,80,4390
210,7838,7763,80,4398
211,8001,7763,80,4407
212,8163,7763,80,4415
213,8325,7763,80,4423
214,8487,7765,80,4431
215,8647,7789,80,4439
216,8807,7813,80,4447
217,8968,7834,80,4455
218,9129,7852,80,4464
219,9291,7866,80,4472
220,9452,7877,80,4480
221,9614,7884,80,4489
222,9776,7888,80,4496
223,9939,7890,80,4504
224,10101,7890,80,4513
225,10263,7888,80,4521
226,10425,7883,80,4529
227,10587,7875,80,4537
228,10748,7863,80,4545
229,10910,7848,80,4553
230,11071,7829,80,4562
231,11232,7808,80,4570
232,11392,7782,80,4578
233,11552,7763,80,4586
234,11715,7763,80,4594
235,11877,7763,80,4603
236,12039,7763,80,4611
237,12201,7763,80,4619
238,12363,7763,80,4627
239,12525,7763,80,4636
240,12687,7763,80,4644
241,12849,7763,80,4652
242,13011,7763,80,4660
243,13174,7763,80,4668
244,13336,7763,80,4677
245,13498,7763,80,4685
246,13660,7763,80,4693
247,13822,7763,80,4701
248,13984,7763,80,4710
249,14145,7778,80,4718
250,14272,7874,80,4726
251,14319,8026,80,4734
252,14320,8188,80,4742
253,14320,8350,80,4751
254,14320,8513,80,4759
255,14320,8675,80,4767
256,14313,8836,80,4775
257,14231,8972,80,4783
258,14085,9035,80,4792
259,13923,9037,80,4799
260,13761,9037,80,4807
261,13598,9037,80,4816
262,13436,9037,80,4824
263,13274,9037,80,4832
264,13112,9037,80,4840
265,12950,9037,80,4849
266,12788,9037,80,4857
267,12626,9037,80,4865
268,12464,9037,80,4873
269,12302,9037,80,4881
270,12139,9037,80,4890
271,11977,9037,80,4898
272,11815,9037,80,4906
273,11653,9037,80,4914
274,11491,9034,80,4923
275,11331,9007,80,4931
276,11171,8984,80,4939
277,11010,8964,80,4947
278,10849,8946,80,4955
279,10687,8932,80,4963
280,10526,8922,80,4972
281,10364,8915,80,4980
282,10201,8912,80,4988
283,10039,8910,80,4996
284,9877,8910,80,5004
285,9715,8912,80,5013
286,9553,8918,80,5021
287,9391,8927,80,5029
288,9230,8938,80,5037
289,9068,8954,80,5046
290,8907,8973,80,5054
291,8747,8996,80,5062
292,8587,9022,80,5070
293,8425,9037,80,5078
294,8263,9037,80,5086
295,8101,9037,80,5095
296,7939,9037,80,5103
297,7777,9037,80,5111
298,7615,9037,80,5119
299,7453,9037,80,5127
300,7291,9037,80,5135
301,7129,9037,80,5144
302,6966,9037,80,5152
303,6804,9037,80,5160
304,6642,9037,80,5168
305,6480,9037,80,5176
306,6318,9037,80,5185
307,6156,9037,80,5193
308,5994,9037,80,5201
309,5835,9014,80,5209
310,5716,8908,80,5217
311,5680,8752,80,5226
312,5680,8590,80,5234
313,5680,8428,80,5242
314,5680,8265,80,5250
315,5680,8103,80,5258
316,5693,7942,80,5267
317,5786,7813,80,5275
318,5981,7964,80,5389
319,6267,8123,80,5389
320,6744,8215,80,5389
321,7222,8308,80,5389
322,7699,8400,80,5389
323,8176,8493,80,5389
324,8653,8585,80,5389
325,8665,8621,80,5506
326,8518,8688,80,5514
327,8371,8733,80,5522
328,8209,8733,80,5531
329,8047,8733,80,5539
330,7885,8733,80,5547
331,7723,8733,80,5555
332,7561,8733,80,5563
333,7399,8733,80,5572
334,7237,8733,80,5580
335,7074,8733,80,5588
336,6912,8733,80,5596
337,6750,8733,80,5604
338,6588,8733,80,5613
339,6426,8733,80,5621
340,6264,8733,80,5629
341,6102,8733,80,5637
342,5984,8691,80,5645
343,5984,8529,80,5653
344,5984,8367,80,5662
345,5984,8205,80,5670
346,6004,8067,80,5678
347,6166,8067,80,5686
348,6329,8067,80,5694
349,6491,8067,80,5703
350,6653,8067,80,5711
351,6815,8067,80,5719
352,6977,8067,80,5727
353,7139,8067,80,5735
354,7301,8067,80,5744
355,7463,8067,80,5752
356,7625,8067,80,5760
357,7787,8067,80,5768
358,7950,8067,80,5776
359,8112,8067,80,5785
360,8274,8067,80,5793
361,8436,8067,80,5801
362,8574,8145,80,5809
363,8728,8194,80,5817
364,8890,8194,80,5825
365,9052,8194,80,5834
366,9214,8194,80,5842
367,9376,8194,80,5850
368,9538,8194,80,5858
369,9701,8194,80,5866
370,9863,8194,80,5875
371,10025,8194,80,5883
372,10187,8194,80,5891
373,10349,8194,80,5899
374,10511,8194,80,5907
375,10673,8194,80,5916
376,10835,8194,80,5924
377,10997,8194,80,5932
378,11160,8194,80,5940
379,11320,8183,80,5948
380,11469,8120,80,5957
381,11614,8067,80,5965
382,11776,8067,80,5973
383,11938,8067,80,5981
384,12100,8067,80,5989
385,12262,8067,80,5998
386,12424,8067,80,6006
387,12586,8067,80,6014
388,12748,8067,80,6022
389,12910,8067,80,6030
390,13073,8067,80,6038
391,13235,8067,80,6047
392,13397,8067,80,6055
393,13559,8067,80,6063
394,13721,8067,80,6071
395,13883,8067,80,6079
396,14016,8094,80,6087
397,14016,8256,80,6096
398,14016,8418,80,6104
399,14016,8580,80,6112
400,14011,8733,80,6120
401,13849,8733,80,6129
402,13687,8733,80,6137
403,13525,8733,80,6145
404,13362,8733,80,6153
405,13200,8733,80,6161
406,13038,8733,80,6169
407,12876,8733,80,6178
408,12714,8733,80,6186
409,12552,8733,80,6194
410,12390,8733,80,6202
411,12228,8733,80,6210
412,12066,8733,80,6219
413,11903,8733,80,6227
414,11741,8733,80,6235
415,11579,8733,80,6243
416,11439,8663,80,6251
417,11287,8609,80,6260
418,11125,8606,80,6268
419,10963,8606,80,6276
420,10801,8606,80,6284
421,10639,8606,80,6292
422,10477,8606,80,6300
423,10315,8606,80,6309
424,10152,8606,80,6317
425,9990,8606,80,6325
426,9828,8606,80,6333
427,9666,8606,80,6341
428,9504,8606,80,6350
429,9342,8606,80,6358
430,9180,8606,80,6366
431,9018,8606,80,6374
432,8856,8606,80,6382
433,8727,8638,80,6389
434,8576,8692,80,6397
435,8437,8765,80,6405
436,8275,8765,80,6413
437,8113,8765,80,6421
438,7950,8765,80,6429
439,7788,8765,80,6438
440,7626,8765,80,6446
441,7464,8765,80,6454
442,7302,8765,80,6462
443,7140,8765,80,6471
444,6978,8765,80,6479
445,6816,8765,80,6487
446,6654,8765,80,6495
447,6491,8765,80,6504
448,6329,8765,80,6512
449,6167,8765,80,6520
450,6005,8765,80,6528
451,5952,8659,80,6536
452,5952,8497,80,6544
453,5952,8334,80,6552
454,5952,8172,80,6560
455,5973,8035,80,6568
456,6135,8035,80,6576
457,6297,8035,80,6585
458,6459,8035,80,6593
459,6621,8035,80,6601
460,6784,8035,80,6609
461,6946,8035,80,6618
462,7108,8035,80,6626
463,7270,8035,80,6634
464,7432,8035,80,6642
465,7594,8035,80,6651
466,7756,8035,80,6659
467,7918,8035,80,6667
468,8080,8035,80,6675
469,8243,8035,80,6684
470,8405,8035,80,6692
471,8548,8092,80,6700
472,8697,8154,80,6708
473,8858,8162,80,6716
474,9020,8162,80,6724
475,9182,8162,80,6732
476,9344,8162,80,6740
477,9507,8162,80,6749
478,9669,8162,80,6757
479,9831,8162,80,6765
480,9993,8162,80,6773
481,10155,8162,80,6781
482,10317,8162,80,6790
483,10479,8162,80,6798
484,10641,8162,80,6806
485,10803,8162,80,6814
486,10966,8162,80,6823
487,11128,8162,80,6831
488,11289,8157,80,6839
489,11440,8099,80,6847
490,11581,8035,80,6856
491,11743,8035,80,6864
492,11905,8035,80,6872
493,12067,8035,80,6880
494,12230,8035,80,6888
495,12392,8035,80,6897
496,12554,8035,80,6905
497,12716,8035,80,6913
498,12878,8035,80,6921
499,13040,8035,80,6929
500,13202,8035,80,6937
501,13364,8035,80,6946
502,13526,8035,80,6954
503,13689,8035,80,6962
504,13851,8035,80,6970
505,14013,8035,80,6978
506,14048,8159,80,6986
507,14048,8321,80,6995
508,14048,8483,80,7003
509,14048,8645,80,7011
510,14009,8765,80,7019
511,13847,8765,80,7027
512,13685,8765,80,7035
513,13523,8765,80,7044
514,13361,8765,80,7052
515,13199,8765,80,7060
516,13037,8765,80,7068
517,12874,8765,80,7076
518,12712,8765,80,7084
519,12550,8765,80,7093
520,12388,8765,80,7101
521,12226,8765,80,7109
522,12064,8765,80,7117
523,11902,8765,80,7125
524,11740,8765,80,7134
525,11578,8765,80,7142
526,11437,8699,80,7150
527,11286,8641,80,7158
528,11124,8638,80,7167
529,10962,8638,80,7175
530,10800,8638,80,7183
531,10638,8638,80,7191
532,10476,8638,80,7199
533,10314,8638,80,7207
534,10151,8638,80,7215
535,9989,8638,80,7224
536,9827,8638,80,7232
537,9665,8638,80,7240
538,9503,8638,80,7248
539,9341,8638,80,7256
540,9179,8638,80,7264
541,9017,8638,80,7273
542,8855,8638,80,7281
543,8716,8616,80,7287
544,8592,8614,80,7294
545,8454,8697,80,7303
546,8293,8702,80,7311
547,8131,8702,80,7319
548,7969,8702,80,7327
549,7807,8702,80,7336
550,7645,8702,80,7344
551,7483,8702,80,7352
552,7321,8702,80,7360
553,7159,8702,80,7368
554,6997,8702,80,7376
555,6834,8702,80,7385
556,6672,8702,80,7393
557,6510,8702,80,7401
558,6348,8702,80,7409
559,6186,8702,80,7417
560,6024,8702,80,7426
561,6015,8551,80,7434
562,6015,8389,80,7442
563,6015,8227,80,7450
564,6044,8098,80,7458
565,6206,8098,80,7466
566,6368,8098,80,7474
567,6530,8098,80,7482
568,6692,8098,80,7490
569,6855,8098,80,7499
570,7017,8098,80,7507
571,7179,8098,80,7515
572,7341,8098,80,7523
573,7503,8098,80,7531
574,7665,8098,80,7540
575,7827,8098,80,7548
576,7989,8098,80,7556
577,8151,8098,80,7564
578,8314,8098,80,7572
579,8470,8115,80,7581
580,8611,8193,80,7589
581,8768,8225,80,7597
582,8931,8225,80,7605
583,9093,8225,80,7613
584,9255,8225,80,7621
585,9417,8225,80,7629
586,9579,8225,80,7638
587,9741,8225,80,7646
588,9903,8225,80,7654
589,10065,8225,80,7662
590,10227,8225,80,7671
591,10390,8225,80,7679
592,10552,8225,80,7687
593,10714,8225,80,7695
594,10876,8225,80,7704
595,11038,8225,80,7712
596,11200,8225,80,7720
597,11360,8204,80,7728
598,11505,8134,80,7737
599,11655,8098,80,7744
600,11817,8098,80,7752
601,11979,8098,80,7761
602,12141,8098,80,7769
603,12303,8098,80,7777
604,12466,8098,80,7785
605,12628,8098,80,7793
606,12790,8098,80,7802
607,12952,8098,80,7810
608,13114,8098,80,7818
609,13276,8098,80,7826
610,13438,8098,80,7834
611,13600,8098,80,7843
612,13762,8098,80,7851
613,13925,8098,80,7859
614,13985,8197,80,7867
615,13985,8359,80,7875
616,13985,8521,80,7884
617,13985,8683,80,7892
618,13845,8702,80,7900
619,13683,8702,80,7908
620,13521,8702,80,7916
621,13359,8702,80,7924
622,13197,8702,80,7933
623,13035,8702,80,7941
624,12873,8702,80,7949
625,12711,8702,80,7957
626,12549,8702,80,7965
627,12386,8702,80,7973
628,12224,8702,80,7981
629,12062,8702,80,7989
630,11900,8702,80,7998
631,11738,8702,80,8006
632,11576,8702,80,8014
633,11437,8626,80,8022
634,11283,8576,80,8031
635,11121,8575,80,8039
636,10959,8575,80,8047
637,10797,8575,80,8055
638,10635,8575,80,8064
639,10473,8575,80,8072
640,10310,8575,80,8080
641,10148,8575,80,8088
642,9986,8575,80,8096
643,9824,8575,80,8104
644,9662,8575,80,8113
645,9500,8575,80,8121
646,9338,8575,80,8129
647,9176,8575,80,8137
648,9014,8575,80,8145
649,8851,8575,80,8153
650,8651,8578,80,8160
651,8166,8598,80,8160
652,7681,8619,80,8160
653,7196,8639,80,8160
654,6710,8660,80,8160
655,6225,8680,80,8160
656,6041,8620,80,8164
657,6134,8668,80,8169
658,6030,8539,80,8177
659,6127,8616,80,8184
660,6229,8671,80,8190
661,6114,8557,80,8198
662,6032,8430,80,8204
663,6147,8545,80,8213
664,6261,8660,80,8221
665,6275,8628,80,8227
666,6161,8513,80,8236
667,6046,8399,80,8244
668,6100,8408,80,8250
669,6215,8523,80,8258
670,6330,8638,80,8267
671,6387,8650,80,8273
672,6272,8535,80,8281
673,6159,8420,80,8289
674,6044,8305,80,8297
675,6102,8320,80,8303
676,6217,8434,80,8311
677,6332,8549,80,8319
678,6446,8664,80,8327
679,6452,8624,80,8334
680,6338,8509,80,8342
681,6223,8395,80,8350
682,6108,8280,80,8358
683,6038,8165,80,8365
684,6153,8280,80,8373
685,6267,8395,80,8381
686,6382,8509,80,8389
687,6497,8624,80,8398
688,6583,8663,80,8404
689,6468,8548,80,8412
690,6353,8434,80,8420
691,6238,8320,80,8428
692,6123,8205,80,8437
693,6070,8113,80,8443
694,6188,8225,80,8451
695,6303,8340,80,8459
