Index,X,Y,Z,E
0,0,0,0,0
1,0,0,121,0
2,0,0,283,0
3,0,0,445,0
4,0,0,607,0
5,0,0,769,0
6,0,0,800,0
7,0,0,776,0
8,0,0,735,0
9,0,0,695,0
10,0,0,654,0
11,0,0,613,0
12,0,0,573,0
13,0,0,532,0
14,0,0,492,0
15,0,0,451,0
16,0,0,411,0
17,0,0,370,0
18,0,0,330,0
19,0,0,289,0
20,0,0,248,0
21,0,0,208,0
22,0,0,167,0
23,0,0,127,0
24,0,0,86,0
25,0,0,46,0
26,0,0,5,0
27,83,0,3,23
28,218,0,3,59
29,354,0,3,95
30,489,0,3,131
31,624,0,3,168
32,759,0,3,204
33,894,0,3,240
34,1029,0,3,276
35,1164,0,3,313
36,1299,0,3,349
37,1434,0,3,385
38,1570,0,3,421
39,1705,0,3,457
40,1840,0,3,494
41,1975,0,3,530
42,2110,0,3,566
43,2245,0,3,602
44,2380,0,3,639
45,2515,0,3,675
46,2650,0,3,711
47,2786,0,3,747
48,2921,0,3,783
49,3056,0,3,820
50,3191,0,3,856
51,3326,0,3,892
52,3461,0,3,928
53,3596,0,3,965
54,3731,0,3,1001
55,3866,0,3,1037
56,4002,0,3,1073
57,4137,0,3,1110
58,4272,0,3,1146
59,4407,0,3,1182
60,4542,0,3,1218
61,4677,0,3,1254
62,4812,0,3,1295
63,4947,0,3,1370
64,5082,0,3,1446
65,5218,0,3,1521
66,5353,0,3,1597
67,5488,0,3,1672
68,5623,0,3,1747
69,5758,0,3,1823
70,5893,0,3,1898
71,6028,0,3,1974
72,6163,0,3,2050
73,6298,0,3,2125
74,6434,0,3,2201
75,6569,0,3,2276
76,6704,0,3,2351
77,6839,0,3,2427
78,6974,0,3,2502
79,7109,0,3,2578
80,7244,0,3,2654
81,7379,0,3,2729
82,7514,0,3,2805
83,7650,0,3,2880
84,7785,0,3,2955
85,7920,0,3,3031
86,7998,6,3,3189
87,7869,456,8,3189
88,7735,922,12,3189
89,7601,1388,17,3189
90,7467,1855,22,3189
91,7333,2321,27,3189
92,7199,2787,32,3189
93,7065,3253,36,3189
94,6931,3719,41,3189
95,6797,4186,46,3189
96,6663,4652,51,3189
97,6529,5118,56,3189
98,6395,5584,60,3189
99,6261,6050,65,3189
100,6127,6517,70,3189
101,5993,6983,75,3189
102,5859,7449,79,3189
103,5760,7792,83,3262
104,5884,7737,83,3310
105,6046,7731,83,3318
106,6208,7731,83,3326
107,6370,7731,83,3335
108,6533,7731,83,3343
109,6695,7731,83,3351
110,6857,7731,83,3359
111,7019,7731,83,3367
112,7181,7731,83,3375
113,7343,7731,83,3384
114,7505,7731,83,3392
115,7667,7731,83,3400
116,7829,7731,83,3408
117,7992,7731,83,3416
118,8154,7731,83,3424
119,8316,7731,83,3433
120,8478,7732,83,3441
121,8638,7755,83,3449
122,8798,7780,83,3457
123,8959,7801,83,3465
124,9120,7819,83,3474
125,9282,7833,83,3482
126,9444,7844,83,3490
127,9605,7852,83,3498
128,9768,7855,83,3507
129,9930,7858,83,3515
130,10092,7858,83,3523
131,10254,7856,83,3531
132,10416,7851,83,3540
133,10578,7844,83,3548
134,10740,7832,83,3556
135,10901,7816,83,3564
136,11062,7798,83,3572
137,11223,7777,83,3580
138,11383,7751,83,3589
139,11544,7732,83,3597
140,11706,7731,83,3605
141,11868,7731,83,3613
142,12030,7731,83,3621
143,12192,7731,83,3629
144,12354,7731,83,3638
145,12516,7731,83,3646
146,12678,7731,83,3654
147,12841,7731,83,3662
148,13003,7731,83,3670
149,13165,7731,83,3678
150,13327,7731,83,3687
151,13489,7731,83,3695
152,13651,7731,83,3703
153,13813,7731,83,3711
154,13975,7731,83,3719
155,14137,7742,83,3728
156,14273,7825,83,3736
157,14346,7967,83,3744
158,14352,8129,83,3752
159,14352,8291,83,3761
160,14352,8454,83,3769
161,14352,8616,83,3777
162,14351,8778,83,3785
163,14308,8932,83,3793
164,14189,9038,83,3802
165,14032,9069,83,3809
166,13870,9069,83,3818
167,13708,9069,83,3826
168,13545,9069,83,3834
169,13383,9069,83,3842
170,13221,9069,83,3851
171,13059,9069,83,3859
172,12897,9069,83,3867
173,12735,9069,83,3875
174,12573,9069,83,3883
175,12411,9069,83,3892
176,12249,9069,83,3900
177,12086,9069,83,3908
178,11924,9069,83,3916
179,11762,9069,83,3925
180,11600,9069,83,3933
181,11439,9058,83,3941
182,11279,9032,83,3949
183,11118,9008,83,3957
184,10957,8990,83,3966
185,10796,8973,83,3974
186,10634,8960,83,3982
187,10472,8951,83,3990
188,10310,8946,83,3998
189,10148,8943,83,4006
190,9986,8942,83,4014
191,9824,8943,83,4023
192,9662,8945,83,4031
193,9500,8952,83,4039
194,9338,8963,83,4047
195,9177,8976,83,4055
196,9015,8992,83,4063
197,8855,9013,83,4072
198,8694,9037,83,4080
199,8534,9063,83,4088
200,8372,9069,83,4097
201,8210,9069,83,4105
202,8048,9069,83,4113
203,7886,9069,83,4121
204,7724,9069,83,4130
205,7562,9069,83,4138
206,7400,9069,83,4146
207,7237,9069,83,4154
208,7075,9069,83,4162
209,6913,9069,83,4170
210,6751,9069,83,4179
211,6589,9069,83,4187
212,6427,9069,83,4195
213,6265,9069,83,4203
214,6103,9069,83,4211
215,5941,9068,83,4220
216,5787,9025,83,4227
217,5679,8906,83,4236
218,5648,8749,83,4244
219,5648,8587,83,4252
220,5648,8425,83,4260
221,5648,8262,83,4268
222,5648,8100,83,4277
223,5661,7939,83,4285
224,5746,7805,83,4293
225,5899,7767,83,4300
226,6061,7763,83,4308
227,6223,7763,83,4317
228,6385,7763,83,4325
229,6547,7763,83,4333
230,6709,7763,83,4341
231,6871,7763,83,4349
232,7033,7763,83,4358
233,7196,7763,83,4366
234,7358,7763,83,4374
235,7520,7763,83,4382
236,7682,7763,83,4391
237,7844,7763,83,4399
238,8006,7763,83,4407
239,8168,7763,83,4415
240,8330,7763,83,4423
241,8492,7765,83,4431
242,8653,7790,83,4439
243,8813,7814,83,4447
244,8974,7834,83,4456
245,9135,7853,83,4464
246,9296,7867,83,4472
247,9458,7877,83,4480
248,9620,7884,83,4489
249,9782,7888,83,4497
250,9944,7890,83,4505
251,10106,7890,83,4513
252,10268,7888,83,4521
253,10430,7883,83,4529
254,10592,7875,83,4537
255,10754,7863,83,4546
256,10915,7847,83,4554
257,11076,7829,83,4562
