Index,X,Y,Z,E
0,124,0,0,17
1,259,0,0,35
2,394,0,0,53
3,529,0,0,71
4,664,0,0,89
5,800,0,0,107
6,935,0,0,126
7,1070,0,0,144
8,1205,0,0,162
9,1340,0,0,180
10,1475,0,0,198
11,1610,0,0,216
12,1745,0,0,234
13,1880,0,0,253
14,2016,0,0,271
15,2151,0,0,289
16,2286,0,0,307
17,2421,0,0,325
18,2556,0,0,343
19,2691,0,0,361
20,2826,0,0,379
21,2961,0,0,398
22,3096,0,0,416
23,3232,0,0,434
24,3367,0,0,452
25,3502,0,0,470
26,3637,0,0,488
27,3772,0,0,506
28,3907,0,0,524
29,4042,0,0,543
30,4177,0,0,561
31,4313,0,0,579
32,4448,0,0,597
33,4583,0,0,615
34,4718,0,0,633
35,4853,0,0,659
36,4988,0,0,697
37,5123,0,0,735
38,5258,0,0,772
39,5393,0,0,810
40,5529,0,0,848
41,5664,0,0,885
42,5799,0,0,923
43,5934,0,0,961
44,6069,0,0,998
45,6204,0,0,1036
46,6339,0,0,1074
47,6474,0,0,1112
48,6609,0,0,1149
49,6745,0,0,1187
50,6880,0,0,1225
51,7015,0,0,1262
52,7150,0,0,1300
53,7285,0,0,1338
54,7420,0,0,1376
55,7555,0,0,1413
56,7690,0,0,1451
57,7825,0,0,1489
58,7961,0,0,1526
59,7962,132,1,1651
60,7828,598,6,1651
61,7694,1065,11,1651
62,7560,1531,16,1651
63,7426,1997,21,1651
64,7292,2463,25,1651
65,7158,2930,30,1651
66,7024,3396,35,1651
67,6890,3862,40,1651
68,6756,4328,44,1651
69,6622,4794,49,1651
70,6488,5261,54,1651
71,6354,5727,59,1651
72,6220,6193,64,1651
73,6086,6659,68,1651
74,5952,7125,73,1651
75,5818,7592,78,1651
76,5781,7779,80,1766
77,5934,7732,80,1770
78,6096,7731,80,1773
79,6258,7731,80,1778
80,6420,7731,80,1782
81,6582,7731,80,1786
82,6744,7731,80,1790
83,6906,7731,80,1794
84,7068,7731,80,1798
85,7231,7731,80,1802
86,7393,7731,80,1807
87,7555,7731,80,1811
88,7717,7731,80,1815
89,7879,7731,80,1819
90,8041,7731,80,1823
91,8203,7731,80,1827
92,8365,7731,80,1832
93,8527,7736,80,1835
94,8687,7763,80,1840
95,8848,7787,80,1844
96,9009,7807,80,1848
97,9170,7823,80,1852
98,9331,7838,80,1856
99,9493,7847,80,1860
100,9655,7853,80,1864
101,9817,7856,80,1868
102,9979,7858,80,1872
103,10141,7857,80,1876
104,10304,7855,80,1880
105,10466,7849,80,1884
106,10627,7840,80,1888
107,10789,7827,80,1893
108,10950,7812,80,1896
109,11111,7792,80,1901
110,11272,7769,80,1905
111,11432,7743,80,1909
112,11593,7731,80,1914
113,11755,7731,80,1918
114,11918,7731,80,1922
115,12080,7731,80,1926
116,12242,7731,80,1930
117,12404,7731,80,1934
118,12566,7731,80,1938
119,12728,7731,80,1942
120,12890,7731,80,1946
121,13052,7731,80,1950
122,13214,7731,80,1954
123,13377,7731,80,1958
124,13539,7731,80,1962
125,13701,7731,80,1966
126,13863,7731,80,1970
127,14025,7731,80,1975
128,14183,7759,80,1979
129,14304,7864,80,1983
130,14351,8017,80,1987
131,14352,8179,80,1991
132,14352,8341,80,1995
133,14352,8503,80,1999
134,14352,8665,80,2004
135,14348,8827,80,2007
136,14278,8971,80,2012
137,14143,9056,80,2016
138,13982,9069,80,2019
139,13820,9069,80,2024
140,13658,9069,80,2028
141,13496,9069,80,2032
142,13334,9069,80,2036
143,13172,9069,80,2040
144,13009,9069,80,2044
145,12847,9069,80,2048
146,12685,9069,80,2052
147,12523,9069,80,2056
148,12361,9069,80,2060
149,12199,9069,80,2064
150,12037,9069,80,2068
151,11875,9069,80,2073
152,11713,9069,80,2077
153,11550,9069,80,2081
154,11390,9050,80,2085
155,11230,9024,80,2089
156,11069,9002,80,2093
157,10908,8984,80,2097
158,10746,8969,80,2101
159,10585,8957,80,2106
160,10423,8949,80,2109
161,10261,8945,80,2114
162,10099,8942,80,2118
163,9936,8942,80,2122
164,9774,8944,80,2126
165,9612,8948,80,2130
166,9450,8954,80,2134
167,9289,8966,80,2139
168,9127,8981,80,2143
169,8966,8998,80,2147
170,8805,9019,80,2151
171,8645,9045,80,2155
172,8485,9067,80,2159
173,8322,9069,80,2163
174,8160,9069,80,2167
175,7998,9069,80,2171
176,7836,9069,80,2175
177,7674,9069,80,2179
178,7512,9069,80,2183
179,7350,9069,80,2187
180,7188,9069,80,2192
181,7026,9069,80,2196
182,6863,9069,80,2200
183,6701,9069,80,2204
184,6539,9069,80,2208
185,6377,9069,80,2212
186,6215,9069,80,2216
187,6053,9069,80,2220
188,5891,9064,80,2224
189,5746,8995,80,2229
190,5661,8860,80,2233
191,5648,8699,80,2236
192,5648,8537,80,2241
193,5648,8375,80,2245
194,5648,8213,80,2249
195,5648,8050,80,2253
196,5678,7893,80,2257
197,5795,7807,80,2261
198,5949,7763,80,2265
199,6111,7763,80,2269
200,6273,7763,80,2273
201,6435,7763,80,2277
202,6597,7763,80,2281
203,6759,7763,80,2285
204,6921,7763,80,2289
205,7083,7763,80,2293
206,7245,7763,80,2297
207,7408,7763,80,2302
208,7570,7763,80,2306
209,7732,7763,80,2310
210,7894,7763,80,2314
211,8056,7763,80,2318
212,8218,7763,80,2322
213,8380,7763,80,2326
214,8542,7771,80,2331
215,8702,7798,80,2334
216,8862,7821,80,2339
217,9023,7840,80,2343
218,9185,7857,80,2347
219,9346,7871,80,2351
220,9508,7880,80,2355
221,9670,7885,80,2359
222,9832,7889,80,2363
223,9994,7890,80,2367
224,10156,7889,80,2371
225,10318,7887,80,2376
226,10480,7881,80,2380
227,10642,7871,80,2384
228,10804,7858,80,2388
229,10965,7843,80,2392
230,11126,7822,80,2396
231,11286,7799,80,2400
232,11447,7773,80,2404
233,11608,7763,80,2408
234,11770,7763,80,2412
235,11932,7763,80,2416
236,12094,7763,80,2420
237,12257,7763,80,2424
238,12419,7763,80,2429
239,12581,7763,80,2433
240,12743,7763,80,2437
241,12905,7763,80,2441
242,13067,7763,80,2445
243,13229,7763,80,2449
244,13391,7763,80,2453
245,13553,7763,80,2457
246,13716,7763,80,2462
247,13878,7763,80,2466
248,14040,7764,80,2470
249,14195,7801,80,2473
250,14299,7922,80,2477
251,14320,8082,80,2482
252,14320,8244,80,2486
253,14320,8406,80,2490
254,14320,8568,80,2494
255,14320,8730,80,2498
256,14295,8889,80,2503
257,14186,9005,80,2507
258,14029,9037,80,2510
259,13867,9037,80,2515
260,13705,9037,80,2519
261,13543,9037,80,2523
262,13381,9037,80,2527
263,13219,9037,80,2531
264,13056,9037,80,2535
265,12894,9037,80,2539
266,12732,9037,80,2544
267,12570,9037,80,2548
268,12408,9037,80,2552
269,12246,9037,80,2556
270,12084,9037,80,2560
271,11922,9037,80,2564
272,11759,9037,80,2568
273,11597,9037,80,2573
274,11436,9025,80,2576
275,11276,8999,80,2580
276,11116,8976,80,2584
277,10954,8957,80,2588
278,10793,8941,80,2592
279,10632,8928,80,2597
280,10470,8919,80,2601
281,10308,8914,80,2605
282,10146,8911,80,2609
283,9984,8910,80,2613
284,9821,8911,80,2617
285,9659,8913,80,2621
286,9497,8920,80,2625
287,9336,8931,80,2629
288,9174,8944,80,2633
289,9013,8960,80,2637
290,8852,8981,80,2642
291,8692,9005,80,2646
292,8531,9030,80,2650
293,8370,9037,80,2654
294,8207,9037,80,2658
295,8045,9037,80,2662
296,7883,9037,80,2666
297,7721,9037,80,2670
298,7559,9037,80,2674
299,7397,9037,80,2678
300,7235,9037,80,2682
301,7073,9037,80,2686
302,6911,9037,80,2691
303,6748,9037,80,2695
304,6586,9037,80,2699
305,6424,9037,80,2703
306,6262,9037,80,2707
307,6100,9037,80,2711
308,5938,9036,80,2715
309,5786,8987,80,2720
310,5693,8857,80,2724
311,5680,8696,80,2728
312,5680,8534,80,2732
313,5680,8372,80,2736
314,5680,8209,80,2740
315,5680,8047,80,2744
316,5716,7891,80,2748
317,5807,7823,80,2808
318,6030,8077,80,2808
319,6507,8169,80,2808
320,6985,8262,80,2808
321,7462,8354,80,2808
322,7939,8447,80,2808
323,8416,8539,80,2808
324,8718,8608,80,2865
325,8566,8660,80,2869
326,8426,8733,80,2873
327,8264,8733,80,2877
328,8102,8733,80,2881
329,7940,8733,80,2885
330,7778,8733,80,2889
331,7616,8733,80,2894
332,7454,8733,80,2898
333,7291,8733,80,2902
334,7129,8733,80,2906
335,6967,8733,80,2910
336,6805,8733,80,2914
337,6643,8733,80,2918
338,6481,8733,80,2922
339,6319,8733,80,2927
340,6157,8733,80,2931
341,5995,8733,80,2935
342,5984,8584,80,2939
343,5984,8422,80,2943
344,5984,8260,80,2947
345,5984,8098,80,2951
346,6112,8067,80,2955
347,6274,8067,80,2959
348,6436,8067,80,2963
349,6598,8067,80,2967
350,6760,8067,80,2971
351,6922,8067,80,2976
352,7084,8067,80,2980
353,7246,8067,80,2984
354,7408,8067,80,2988
355,7571,8067,80,2992
356,7733,8067,80,2996
357,7895,8067,80,3000
358,8057,8067,80,3004
359,8219,8067,80,3008
360,8381,8067,80,3012
361,8527,8117,80,3017
362,8675,8182,80,3021
363,8835,8194,80,3025
364,8997,8194,80,3029
365,9159,8194,80,3033
366,9322,8194,80,3037
367,9484,8194,80,3041
368,9646,8194,80,3045
369,9808,8194,80,3049
370,9970,8194,80,3053
371,10132,8194,80,3057
372,10294,8194,80,3061
373,10456,8194,80,3065
374,10618,8194,80,3070
375,10781,8194,80,3074
376,10943,8194,80,3078
377,11105,8194,80,3082
378,11267,8194,80,3086
379,11421,8146,80,3090
380,11559,8067,80,3095
381,11721,8067,80,3099
382,11883,8067,80,3103
383,12045,8067,80,3107
384,12207,8067,80,3111
385,12369,8067,80,3115
386,12532,8067,80,3119
387,12694,8067,80,3123
388,12856,8067,80,3127
389,13018,8067,80,3131
390,13180,8067,80,3135
391,13342,8067,80,3139
392,13504,8067,80,3143
393,13666,8067,80,3147
394,13828,8067,80,3151
395,13991,8067,80,3155
396,14016,8201,80,3159
397,14016,8363,80,3164
398,14016,8525,80,3168
399,14016,8687,80,3172
400,13903,8733,80,3176
401,13741,8733,80,3180
402,13579,8733,80,3184
403,13417,8733,80,3188
404,13255,8733,80,3192
405,13093,8733,80,3197
406,12931,8733,80,3201
407,12769,8733,80,3205
408,12606,8733,80,3209
409,12444,8733,80,3213
410,12282,8733,80,3217
411,12120,8733,80,3221
412,11958,8733,80,3225
413,11796,8733,80,3230
414,11634,8733,80,3234
415,11486,8691,80,3237
416,11340,8622,80,3241
417,11180,8606,80,3245
418,11018,8606,80,3250
419,10855,8606,80,3254
420,10693,8606,80,3258
421,10531,8606,80,3262
422,10369,8606,80,3266
423,10207,8606,80,3270
424,10045,8606,80,3274
425,9883,8606,80,3279
426,9721,8606,80,3283
427,9559,8606,80,3287
428,9396,8606,80,3291
429,9234,8606,80,3295
430,9072,8606,80,3299
431,8910,8606,80,3303
432,8748,8606,80,3307
433,8625,8669,80,3311
434,8487,8752,80,3314
435,8329,8765,80,3319
436,8167,8765,80,3323
437,8005,8765,80,3327
438,7843,8765,80,3331
439,7681,8765,80,3335
440,7519,8765,80,3339
441,7356,8765,80,3343
442,7194,8765,80,3347
443,7032,8765,80,3352
444,6870,8765,80,3356
445,6708,8765,80,3360
446,6546,8765,80,3364
447,6384,8765,80,3368
448,6222,8765,80,3372
449,6059,8765,80,3376
450,5952,8713,80,3380
451,5952,8551,80,3384
452,5952,8389,80,3388
453,5952,8227,80,3392
454,5952,8065,80,3396
455,6081,8035,80,3400
456,6243,8035,80,3404
457,6405,8035,80,3409
458,6567,8035,80,3413
459,6729,8035,80,3417
460,6891,8035,80,3421
461,7053,8035,80,3425
